number,wallet,ETH-zksync,WETH-zksync,USDC-zksync
169,0x791ba5a6606bf0f65aff7a5e9a2710d9ec4539b2,0.000619,0,1e-06
170,0x7847caca448227722d06147a1509db8c74ba9916,0.00062,0,0
171,0xa3de525ea66bbea6ccd3dd962a4cd488213a00cf,0.00062,0,0
172,0xa69feedd081357c69bde3635389f3f0e472b2bd8,0.000619,0,0
173,0x898cdac97560d4f8a1fa890e12982c3df2bc5a68,0.000619,0,1e-06
174,0x393669cdecce5d3bd4edfba4bad3fd6abd8e3a1a,0.00062,1e-18,0
175,0xdd0c188c71999118312aea79605b911ff7001139,0.000618,0,0
176,0xe2fa215453a3a3888b94f45fe2b542cf7f09b837,0.000619,0,0
177,0xaa353c222ec0923391e68052954fd2497e6c91ba,0.000619,0,0
178,0xa4a9d34c39ce9670026eb163c99bac6dba3334e7,0.00062,0,0
179,0x15090eb01cb7f5d7326670da02d603092a7bd4f4,0.000618,1e-18,0
180,0x016a4839d14094dbe8b68c97857f869547086b30,0.000619,0,1e-06

TOTAL_AMOUNTS,,0.112,1.4e-17,8e-06
TOTAL_VALUE,178 $,178 $,0 $,0 $
